Gene	Pred	Actual
b'ENSDARG00000000068'	b'-0.32449317'	b'-0.173192402727744'
b'ENSDARG00000000103'	b'-0.25567317'	b'1.1814173616054855'
b'ENSDARG00000000380'	b'-0.14249508'	b'-0.875303348805909'
b'ENSDARG00000000423'	b'-0.11702806'	b'-0.1484453948881963'
b'ENSDARG00000000489'	b'0.4436202'	b'1.2495145525165612'
b'ENSDARG00000000516'	b'-0.31532085'	b'-0.8446379957506519'
b'ENSDARG00000000588'	b'-0.07836494'	b'-0.0895924766741201'
b'ENSDARG00000000730'	b'0.35824394'	b'-0.0657860955284204'
b'ENSDARG00000000857'	b'-0.19531636'	b'0.702590604599672'
b'ENSDARG00000000935'	b'0.6332084'	b'-0.2297109458706707'
b'ENSDARG00000000966'	b'-0.40588588'	b'0.1271018869962314'
b'ENSDARG00000001437'	b'-0.09888981'	b'1.3999783902000504'
b'ENSDARG00000001769'	b'0.13673581'	b'0.431476675781503'
b'ENSDARG00000001781'	b'0.26759124'	b'-0.1696728710110085'
b'ENSDARG00000001818'	b'-0.107262924'	b'-0.4084685893360367'
b'ENSDARG00000001906'	b'-0.26003855'	b'-1.0672899237494748'
b'ENSDARG00000002016'	b'-0.41437274'	b'-0.0504874330888175'
b'ENSDARG00000002082'	b'0.5294463'	b'1.858381105372474'
b'ENSDARG00000002128'	b'0.09718411'	b'1.0669625221316617'
b'ENSDARG00000002193'	b'0.97549903'	b'-1.0076718601093992'
b'ENSDARG00000002197'	b'0.2725405'	b'-0.2361051282808975'
b'ENSDARG00000002249'	b'-0.5569771'	b'-0.9992841696023044'
b'ENSDARG00000002304'	b'0.027547404'	b'0.32720862398449'
b'ENSDARG00000002344'	b'0.041942865'	b'3.737495299145471'
b'ENSDARG00000002405'	b'0.017441317'	b'0.0809077693391375'
b'ENSDARG00000002508'	b'0.23926567'	b'-0.9816206059700424'
b'ENSDARG00000002607'	b'-0.30349797'	b'-0.7820171245891034'
b'ENSDARG00000002690'	b'0.21056016'	b'1.5631579255236698'
b'ENSDARG00000002707'	b'0.42968804'	b'0.2569300755708391'
b'ENSDARG00000002710'	b'0.6037733'	b'3.091888984426204'
b'ENSDARG00000002787'	b'0.19380103'	b'1.193979450924779'
b'ENSDARG00000002872'	b'-0.18243153'	b'0.2814240888591597'
b'ENSDARG00000002947'	b'0.3748353'	b'-0.0014858513789085'
b'ENSDARG00000002949'	b'0.106184915'	b'1.5258545630875235'
b'ENSDARG00000002959'	b'-0.45275515'	b'-1.091598717576009'
b'ENSDARG00000002968'	b'0.20499775'	b'0.3454142163606483'
b'ENSDARG00000003132'	b'-0.07943621'	b'1.3238678185238115'
b'ENSDARG00000003229'	b'0.1494845'	b'-0.99901419160993'
b'ENSDARG00000003270'	b'0.42891026'	b'0.7683228295648082'
b'ENSDARG00000003307'	b'0.5893092'	b'0.8872325859614056'
b'ENSDARG00000003380'	b'0.36793625'	b'-0.5113592710627026'
b'ENSDARG00000003398'	b'0.554044'	b'1.5559553420308223'
b'ENSDARG00000003449'	b'-0.45103383'	b'-0.9297182968397992'
b'ENSDARG00000003531'	b'0.3237439'	b'1.8180397191873667'
b'ENSDARG00000003599'	b'0.45683014'	b'4.4647159090056325'
b'ENSDARG00000003750'	b'0.27848208'	b'1.5039067304824614'
b'ENSDARG00000003751'	b'0.15733612'	b'0.5245202524331882'
b'ENSDARG00000003899'	b'-0.10583113'	b'-0.2650152972736724'
b'ENSDARG00000003920'	b'0.7817647'	b'3.160668314963451'
b'ENSDARG00000003938'	b'-0.17151381'	b'1.5102482206561554'
b'ENSDARG00000003941'	b'-0.36957413'	b'2.349044672342873'
b'ENSDARG00000003968'	b'0.20889139'	b'-1.0487389158067475'
b'ENSDARG00000003974'	b'0.50883675'	b'0.6473507526154303'
b'ENSDARG00000003984'	b'0.29192114'	b'0.4376069288862989'
b'ENSDARG00000003989'	b'-0.36113524'	b'-0.9993644717250048'
b'ENSDARG00000003994'	b'-0.18870349'	b'-0.7629139079146732'
b'ENSDARG00000004037'	b'0.003124714'	b'0.4280631371752707'
b'ENSDARG00000004160'	b'-0.39630997'	b'0.36127635133685'
b'ENSDARG00000004169'	b'0.5949533'	b'2.6999977943509275'
b'ENSDARG00000004218'	b'0.08081178'	b'0.7242615690226596'
b'ENSDARG00000004232'	b'0.35605943'	b'2.19643603085754'
b'ENSDARG00000004274'	b'0.21015649'	b'-0.0675208278938989'
b'ENSDARG00000004307'	b'-0.22462966'	b'-0.5216594102624516'
b'ENSDARG00000004311'	b'0.025029972'	b'0.016388673992406'
b'ENSDARG00000004433'	b'-0.06158203'	b'-0.5550308537991197'
b'ENSDARG00000004455'	b'0.21369246'	b'0.2549330277048249'
b'ENSDARG00000004460'	b'0.036363617'	b'0.5600963857477358'
b'ENSDARG00000004497'	b'0.30073616'	b'0.2347744078133239'
b'ENSDARG00000004498'	b'-0.19885732'	b'-1.0687638757605529'
b'ENSDARG00000004539'	b'0.22555141'	b'1.0274430208831224'
b'ENSDARG00000004576'	b'0.040888466'	b'0.963487112508771'
b'ENSDARG00000004680'	b'-0.1115731'	b'0.964328875732326'
b'ENSDARG00000004692'	b'0.3999697'	b'1.9785511309388517'
b'ENSDARG00000004724'	b'-0.07164529'	b'0.337428117947098'
b'ENSDARG00000004753'	b'-0.25209206'	b'-0.9964061005847592'
b'ENSDARG00000004763'	b'-0.20122291'	b'-0.1969455312658564'
b'ENSDARG00000004823'	b'-0.27987814'	b'-0.9983618889044285'
b'ENSDARG00000004840'	b'0.30937958'	b'0.9150082059212814'
b'ENSDARG00000004880'	b'0.111227885'	b'-0.1988310205629377'
b'ENSDARG00000004988'	b'-0.3390453'	b'-0.5190494364343166'
b'ENSDARG00000005010'	b'-0.5374194'	b'1.4853157155252952'
b'ENSDARG00000005050'	b'-0.22154458'	b'-0.9432986328754204'
b'ENSDARG00000005098'	b'-0.0002841577'	b'1.1733895833075585'
b'ENSDARG00000005122'	b'0.0907249'	b'1.1044430194188772'
b'ENSDARG00000005134'	b'0.71129143'	b'1.3847125448662585'
b'ENSDARG00000005179'	b'-0.3123861'	b'-0.5647929956058629'
b'ENSDARG00000005210'	b'-0.17484449'	b'0.0738244315169281'
