Gene ID,Representative Transcript ID,5' UTR len,3' UTR len,ORF len,5' UTR gc,3' UTR gc,ORF gc,Intron len,Exon junction density
ENSSSCG00000000002,ENSSSCT00000000003,0,380,14593,0,0.47368421052631576,0.6168025765778112,12581,0.6852600561913246
ENSSSCG00000000003,ENSSSCT00000000004,24,676,21552,0.75,0.5295857988165681,0.5870452858203415,20314,0.6495916852264291
ENSSSCG00000000005,ENSSSCT00000000006,126,2114,2045,0.5634920634920635,0.5629139072847682,0.6767726161369193,1674,0.9779951100244499
ENSSSCG00000000006,ENSSSCT00000000007,262,2014,18336,0.5458015267175572,0.5163853028798411,0.49214659685863876,59819,0.43630017452006986
ENSSSCG00000000007,ENSSSCT00000000008,53,309,15886,0.7358490566037735,0.7119741100323624,0.5957446808510638,14621,0.6294850812035755
ENSSSCG00000000010,ENSSSCT00000000011,126,650,86905,0.8174603174603174,0.43538461538461537,0.5760428053621771,84785,0.18410908463264483
ENSSSCG00000000014,ENSSSCT00000000015,281,1078,21620,0.800711743772242,0.5435992578849722,0.5246993524514338,28151,0.3700277520814061
ENSSSCG00000000018,ENSSSCT00000061018,199,5210,37822,0.8140703517587939,0.545489443378119,0.5768071492781979,36706,0.26439638305747976
ENSSSCG00000000019,ENSSSCT00000059699,309,3573,13970,0.7152103559870551,0.46739434648754546,0.45354330708661417,16482,0.4294917680744452
ENSSSCG00000000020,ENSSSCT00000086082,199,1001,93129,0.6482412060301508,0.6083916083916084,0.5815374373181286,91696,0.12885352575459846
ENSSSCG00000000021,ENSSSCT00000056308,172,216,35360,0.6453488372093024,0.4722222222222222,0.5663178733031674,48873,0.36764705882352944
ENSSSCG00000000022,ENSSSCT00000000023,586,4508,719,0.7286689419795221,0.5698757763975155,0.6717663421418637,209,1.3908205841446455
ENSSSCG00000000024,ENSSSCT00000072505,137,2374,70941,0.5620437956204379,0.5985678180286437,0.5654980899620812,70419,0.19734709124483726
ENSSSCG00000000025,ENSSSCT00000065458,487,213,21493,0.6694045174537988,0.6338028169014085,0.582980505280789,22639,0.6048480900758387
